Timestamp;Type;Details
2026-03-04 22:40:52;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.Windows.PeopleExperienceHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}" new enable=no]
2026-03-04 22:40:52;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.Windows.PrintQueueActionCenter_1.0.2.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PrintQueueActionCenter/Resources/AppxManifest_DisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:52;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.Windows.PrintQueueActionCenter_1.0.2.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PrintQueueActionCenter/Resources/AppxManifest_DisplayName}" new enable=no]
2026-03-04 22:40:51;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.Windows.SecureAssessmentBrowser_10.0.26100.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.SecureAssessmentBrowser/Resources/PackageDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:51;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.Windows.SecureAssessmentBrowser_10.0.26100.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.SecureAssessmentBrowser/Resources/PackageDisplayName}" new enable=no]
2026-03-04 22:40:51;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.XboxGameCallableUI_1000.25128.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:51;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.XboxGameCallableUI_1000.25128.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}" new enable=no]
2026-03-04 22:40:50;INFO;[FW WARN] DisableBuiltin could not disable '@{Windows.PrintDialog_6.2.3.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.PrintDialog/Resources/DisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:50;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Windows.PrintDialog_6.2.3.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.PrintDialog/Resources/DisplayName}" new enable=no]
2026-03-04 22:40:50;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.Windows.NarratorQuickStart_10.0.26100.1_neutral_neutral_8wekyb3d8bbwe?ms-resource://Microsoft.Windows.NarratorQuickStart/Resources/AppDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
